filepath,filename,split,label,width,height,mean_intensity,std_intensity,md5_hash
data/processed\train\NORMAL\IM-0115-0001.jpeg,IM-0115-0001.jpeg,train,NORMAL,256,256,78.50669860839844,44.34468750717626,7c8d8a1e1cdc2f21db7f573b5703ec40
data/processed\train\NORMAL\IM-0115-0001_blur.jpeg,IM-0115-0001_blur.jpeg,train,NORMAL,256,256,78.53355407714844,44.36375129327328,4992f3a1f49fd153c9080e55be8d2744
data/processed\train\NORMAL\IM-0115-0001_rot.jpeg,IM-0115-0001_rot.jpeg,train,NORMAL,256,256,78.52969360351562,44.692621233308444,eb1a0cf899280da9a22c817eea1c5cd9
data/processed\train\NORMAL\IM-0115-0001_sharp.jpeg,IM-0115-0001_sharp.jpeg,train,NORMAL,256,256,78.52516174316406,44.38021854429093,37468854112d1a6fe5409285b4fae687
data/processed\train\NORMAL\IM-0115-0001_shift.jpeg,IM-0115-0001_shift.jpeg,train,NORMAL,256,256,76.29037475585938,45.469356768193556,deaeefaec659962be91008089a442fe8
data/processed\train\NORMAL\IM-0115-0001_zoom.jpeg,IM-0115-0001_zoom.jpeg,train,NORMAL,256,256,78.61180114746094,44.30238901985657,840347183845d5f437a3e6c591c011df
data/processed\train\NORMAL\IM-0117-0001.jpeg,IM-0117-0001.jpeg,train,NORMAL,256,256,65.2999267578125,49.21956513456464,c4f8a08547da267a1d701f1a6257d459
data/processed\train\NORMAL\IM-0117-0001_blur.jpeg,IM-0117-0001_blur.jpeg,train,NORMAL,256,256,65.29319763183594,49.18460143606994,bd1195bab07eb52716f3976484e4a89e
data/processed\train\NORMAL\IM-0117-0001_rot.jpeg,IM-0117-0001_rot.jpeg,train,NORMAL,256,256,64.64816284179688,49.523609940826596,9e20b6271429b4ec8de32c379d68d83b
data/processed\train\NORMAL\IM-0117-0001_sharp.jpeg,IM-0117-0001_sharp.jpeg,train,NORMAL,256,256,65.39218139648438,49.32651337546163,41d8a3e9545cbf80595cf9be09e22adb
data/processed\train\NORMAL\IM-0117-0001_shift.jpeg,IM-0117-0001_shift.jpeg,train,NORMAL,256,256,62.776763916015625,50.21333000685545,ec86da86326fa0e6aeffe9df07e72503
data/processed\train\NORMAL\IM-0117-0001_zoom.jpeg,IM-0117-0001_zoom.jpeg,train,NORMAL,256,256,67.8538818359375,47.20752381512473,f3617e3e4d5b776da4cfd139ccb993ee
data/processed\train\NORMAL\IM-0119-0001.jpeg,IM-0119-0001.jpeg,train,NORMAL,256,256,65.23783874511719,49.83080531598229,9f2cd3d4349b7bd290648ff10ed739d7
data/processed\train\NORMAL\IM-0119-0001_blur.jpeg,IM-0119-0001_blur.jpeg,train,NORMAL,256,256,65.30195617675781,49.89539466494907,8bef67d9e05b49ea7046fe7b8ed4ad15
data/processed\train\NORMAL\IM-0119-0001_rot.jpeg,IM-0119-0001_rot.jpeg,train,NORMAL,256,256,65.10163879394531,49.91377788891993,57c5e7ead4454b362b12e73d2c2e2284
data/processed\train\NORMAL\IM-0119-0001_sharp.jpeg,IM-0119-0001_sharp.jpeg,train,NORMAL,256,256,65.33119201660156,49.90034876719197,860023d5112d77d08fec12fbaa124dc6
data/processed\train\NORMAL\IM-0119-0001_shift.jpeg,IM-0119-0001_shift.jpeg,train,NORMAL,256,256,65.18446350097656,49.88164382635507,62f0d7937b2521a11652cdb5397ec44d
data/processed\train\NORMAL\IM-0119-0001_zoom.jpeg,IM-0119-0001_zoom.jpeg,train,NORMAL,256,256,65.44078063964844,49.830208866947466,67a18621639258419a9edf5e0bb8abba
data/processed\train\NORMAL\IM-0122-0001.jpeg,IM-0122-0001.jpeg,train,NORMAL,256,256,67.57966613769531,46.88982774320005,6eeb50ab9187d3ea6a16956c555d5c90
data/processed\train\NORMAL\IM-0122-0001_blur.jpeg,IM-0122-0001_blur.jpeg,train,NORMAL,256,256,67.52894592285156,46.85711590633093,41aef9d31763fe63ba50bafcf7e44be5
data/processed\train\NORMAL\IM-0122-0001_rot.jpeg,IM-0122-0001_rot.jpeg,train,NORMAL,256,256,66.33964538574219,47.806836692488005,d6c0b56d0528fd198c519f089c2e2077
data/processed\train\NORMAL\IM-0122-0001_sharp.jpeg,IM-0122-0001_sharp.jpeg,train,NORMAL,256,256,67.59526062011719,46.92250315798935,c2cfd7a1ea776c5d7d56f100f51920e5
data/processed\train\NORMAL\IM-0122-0001_shift.jpeg,IM-0122-0001_shift.jpeg,train,NORMAL,256,256,67.074951171875,46.83055572705332,76cd0e9b13e85881178895b41551c571
data/processed\train\NORMAL\IM-0122-0001_zoom.jpeg,IM-0122-0001_zoom.jpeg,train,NORMAL,256,256,68.35995483398438,46.63403505473487,92e3454a013473787a39a1791f464067
data/processed\train\NORMAL\IM-0125-0001.jpeg,IM-0125-0001.jpeg,train,NORMAL,256,256,59.97676086425781,54.66648921257256,7da372d0a4db4c541ebca9cb3236c64d
data/processed\train\NORMAL\IM-0125-0001_blur.jpeg,IM-0125-0001_blur.jpeg,train,NORMAL,256,256,60.16322326660156,54.8561930830659,0de92b0bd5f36a586b8fb463310d2e85
data/processed\train\NORMAL\IM-0125-0001_rot.jpeg,IM-0125-0001_rot.jpeg,train,NORMAL,256,256,60.06376647949219,55.423452911999554,6dadf8066b629107eee4b2b84a87d223
data/processed\train\NORMAL\IM-0125-0001_sharp.jpeg,IM-0125-0001_sharp.jpeg,train,NORMAL,256,256,60.25260925292969,54.98020815516308,89357ef7d45cfdcb85d3636eeb0698e9
data/processed\train\NORMAL\IM-0125-0001_shift.jpeg,IM-0125-0001_shift.jpeg,train,NORMAL,256,256,58.344207763671875,55.133858847143614,449d5df374ace8e5cd757e49008ccb06
data/processed\train\NORMAL\IM-0125-0001_zoom.jpeg,IM-0125-0001_zoom.jpeg,train,NORMAL,256,256,63.11485290527344,54.30639564998553,86ac245c0c74fa5dc96cb8c9c70c6ac9
data/processed\train\NORMAL\IM-0127-0001.jpeg,IM-0127-0001.jpeg,train,NORMAL,256,256,63.52226257324219,53.401863505520176,1ff97ac4d36807fc722fa2f8fac913d7
data/processed\train\NORMAL\IM-0127-0001_blur.jpeg,IM-0127-0001_blur.jpeg,train,NORMAL,256,256,63.60321044921875,53.49088443348286,87b1240c2e435328451fde98c20a1dfa
data/processed\train\NORMAL\IM-0127-0001_rot.jpeg,IM-0127-0001_rot.jpeg,train,NORMAL,256,256,62.45323181152344,53.64715682624086,ce51116cbaf06050b50948558953fdf5
data/processed\train\NORMAL\IM-0127-0001_sharp.jpeg,IM-0127-0001_sharp.jpeg,train,NORMAL,256,256,63.63508605957031,53.51101914530689,83cf53d77c83626e1635641d1692c13a
data/processed\train\NORMAL\IM-0127-0001_shift.jpeg,IM-0127-0001_shift.jpeg,train,NORMAL,256,256,60.34967041015625,52.83463515314902,3df538cac1c73543bd9d8f9cde8f6eb0
data/processed\train\NORMAL\IM-0127-0001_zoom.jpeg,IM-0127-0001_zoom.jpeg,train,NORMAL,256,256,66.56488037109375,53.139919224127745,e0cbc4c0bcf398af5012ae8070e12a80
data/processed\train\NORMAL\IM-0128-0001.jpeg,IM-0128-0001.jpeg,train,NORMAL,256,256,52.2381591796875,49.98541425615504,b8805d3fa28c70afecc7a44ddaaf2692
data/processed\train\NORMAL\IM-0128-0001_blur.jpeg,IM-0128-0001_blur.jpeg,train,NORMAL,256,256,52.240692138671875,49.96328597792934,2f522c2f12beac2f4e4be7c08190a875
data/processed\train\NORMAL\IM-0128-0001_rot.jpeg,IM-0128-0001_rot.jpeg,train,NORMAL,256,256,51.24623107910156,50.18802743356902,a50cf26f6f4bc8aab510570f065d0e85
data/processed\train\NORMAL\IM-0128-0001_sharp.jpeg,IM-0128-0001_sharp.jpeg,train,NORMAL,256,256,52.24287414550781,50.00458370899798,66a9371473656f066ff07f67160ee397
data/processed\train\NORMAL\IM-0128-0001_shift.jpeg,IM-0128-0001_shift.jpeg,train,NORMAL,256,256,49.665252685546875,49.02578186523072,1e4501a333aa2db5b39d3996f26393ce
data/processed\train\NORMAL\IM-0128-0001_zoom.jpeg,IM-0128-0001_zoom.jpeg,train,NORMAL,256,256,53.62922668457031,49.54620633492281,8b50de197e354ff8df64ad61631a574c
data/processed\train\NORMAL\IM-0129-0001.jpeg,IM-0129-0001.jpeg,train,NORMAL,256,256,73.58078002929688,50.26181762057921,aaf7c8f4bfbcde1ceba95229620ac5d3
data/processed\train\NORMAL\IM-0129-0001_blur.jpeg,IM-0129-0001_blur.jpeg,train,NORMAL,256,256,73.62106323242188,50.238383679891356,ae5e17ffd545f2bbc05e591a1237c1f8
data/processed\train\NORMAL\IM-0129-0001_rot.jpeg,IM-0129-0001_rot.jpeg,train,NORMAL,256,256,72.40660095214844,50.51710482006133,c41fc3f285addfa7f6ceda4f7a741024
data/processed\train\NORMAL\IM-0129-0001_sharp.jpeg,IM-0129-0001_sharp.jpeg,train,NORMAL,256,256,73.77412414550781,50.44766565670469,31d4d6421eba1e0f2f0d7d0a7e4824c1
data/processed\train\NORMAL\IM-0129-0001_shift.jpeg,IM-0129-0001_shift.jpeg,train,NORMAL,256,256,70.85531616210938,50.13985295092686,89afb91b9b0e829863d3e964a5ddefd7
data/processed\train\NORMAL\IM-0129-0001_zoom.jpeg,IM-0129-0001_zoom.jpeg,train,NORMAL,256,256,77.05889892578125,48.210359036378705,e45661e773e09f2e312cc2d65983fdf1
data/processed\train\NORMAL\IM-0131-0001.jpeg,IM-0131-0001.jpeg,train,NORMAL,256,256,63.380767822265625,46.085339923934484,60d3c1c90cd27e2cb37f62f2eab32777
data/processed\train\NORMAL\IM-0131-0001_blur.jpeg,IM-0131-0001_blur.jpeg,train,NORMAL,256,256,63.34965515136719,46.05490163956498,9a626665e64294dbf5ebcef375ef1061
data/processed\train\NORMAL\IM-0131-0001_rot.jpeg,IM-0131-0001_rot.jpeg,train,NORMAL,256,256,63.50975036621094,46.19725002171699,39d55f40e395e6bc868c23b5c8256edf
data/processed\train\NORMAL\IM-0131-0001_sharp.jpeg,IM-0131-0001_sharp.jpeg,train,NORMAL,256,256,63.266448974609375,46.00718985519181,d2eaeb63953ca015b9f6a5d348c7ab63
data/processed\train\NORMAL\IM-0131-0001_shift.jpeg,IM-0131-0001_shift.jpeg,train,NORMAL,256,256,63.0858154296875,46.06274602386296,ff09bbf9268ff2f68540bc723b3a4dae
data/processed\train\NORMAL\IM-0131-0001_zoom.jpeg,IM-0131-0001_zoom.jpeg,train,NORMAL,256,256,67.35626220703125,44.909390926641954,43c08b240c624ae6e8ecf024783333d5
data/processed\train\NORMAL\IM-0133-0001.jpeg,IM-0133-0001.jpeg,train,NORMAL,256,256,54.84535217285156,50.597532702859546,5c88e7ad51367c18e6038509cda5017d
data/processed\train\NORMAL\IM-0133-0001_blur.jpeg,IM-0133-0001_blur.jpeg,train,NORMAL,256,256,54.83039855957031,50.58021834827348,81da2b79401f58c9a7f19966ecc10fc9
data/processed\train\NORMAL\IM-0133-0001_rot.jpeg,IM-0133-0001_rot.jpeg,train,NORMAL,256,256,54.78865051269531,51.19291069277002,5bd0c86502aa8ece6b3765104fa980a5
data/processed\train\NORMAL\IM-0133-0001_sharp.jpeg,IM-0133-0001_sharp.jpeg,train,NORMAL,256,256,54.868621826171875,50.665747374933666,b38a64b2e6f0a6f292e2a8188b2f2cd0
data/processed\train\NORMAL\IM-0133-0001_shift.jpeg,IM-0133-0001_shift.jpeg,train,NORMAL,256,256,54.33892822265625,50.62456773758091,9349968e649beac23180640e3d4797e2
data/processed\train\NORMAL\IM-0133-0001_zoom.jpeg,IM-0133-0001_zoom.jpeg,train,NORMAL,256,256,57.45550537109375,50.12260697718082,900a1fad3f1c44a1488bdc9803f50e4c
data/processed\train\NORMAL\IM-0135-0001.jpeg,IM-0135-0001.jpeg,train,NORMAL,256,256,82.77214050292969,50.258622278916384,cdb1867159c87ae3ec63404791dc7027
data/processed\train\NORMAL\IM-0135-0001_blur.jpeg,IM-0135-0001_blur.jpeg,train,NORMAL,256,256,82.86457824707031,50.27904815415364,148b9ef99150696412fb45e6b5bb0638
data/processed\train\NORMAL\IM-0135-0001_rot.jpeg,IM-0135-0001_rot.jpeg,train,NORMAL,256,256,82.65626525878906,50.72291145480609,1d9230393adacd4654d83ae051c620fb
data/processed\train\NORMAL\IM-0135-0001_sharp.jpeg,IM-0135-0001_sharp.jpeg,train,NORMAL,256,256,82.8533935546875,50.34578634399422,0716ae50b64cead4d2c01ad9826c4cea
data/processed\train\NORMAL\IM-0135-0001_shift.jpeg,IM-0135-0001_shift.jpeg,train,NORMAL,256,256,80.5599365234375,49.939353260216585,ac9efdce003eb842ab1a1b9961efa196
data/processed\train\NORMAL\IM-0135-0001_zoom.jpeg,IM-0135-0001_zoom.jpeg,train,NORMAL,256,256,83.18235778808594,50.124602378287854,d7617886c576c245d49d5ef2b7758a26
data/processed\train\NORMAL\IM-0137-0001.jpeg,IM-0137-0001.jpeg,train,NORMAL,256,256,68.21009826660156,46.19832716996723,2f27b27e1063e388d2afb28484f59e1a
data/processed\train\NORMAL\IM-0137-0001_blur.jpeg,IM-0137-0001_blur.jpeg,train,NORMAL,256,256,68.11703491210938,46.109845300012296,849796788caf3f7a8cb1f91babc197b7
data/processed\train\NORMAL\IM-0137-0001_rot.jpeg,IM-0137-0001_rot.jpeg,train,NORMAL,256,256,67.26942443847656,46.958289898417995,48e636a91c00a0fcd564dc04ff1af78b
data/processed\train\NORMAL\IM-0137-0001_sharp.jpeg,IM-0137-0001_sharp.jpeg,train,NORMAL,256,256,68.27169799804688,46.30842951676493,da8584521ea41b4d7d41b1cb45277d4c
data/processed\train\NORMAL\IM-0137-0001_shift.jpeg,IM-0137-0001_shift.jpeg,train,NORMAL,256,256,66.70204162597656,47.680529926419496,4d0b2bc08360337e58b62f557e352ce9
data/processed\train\NORMAL\IM-0137-0001_zoom.jpeg,IM-0137-0001_zoom.jpeg,train,NORMAL,256,256,69.33113098144531,45.760768123690816,afeb274bc42e5b64b9c69196ffce8232
data/processed\train\NORMAL\IM-0140-0001.jpeg,IM-0140-0001.jpeg,train,NORMAL,256,256,95.7762451171875,42.69555388955636,bdb9112d6d9c0bd390e9cd89c2821455
data/processed\train\NORMAL\IM-0140-0001_blur.jpeg,IM-0140-0001_blur.jpeg,train,NORMAL,256,256,95.67192077636719,42.60435240251022,77dda4781d598a2627607ba8866e21a2
data/processed\train\NORMAL\IM-0140-0001_rot.jpeg,IM-0140-0001_rot.jpeg,train,NORMAL,256,256,96.10154724121094,43.61364444456464,e7327373a6417970bd66e767cde55129
