filepath,filename,split,label,width,height,mean_intensity,std_intensity,md5_hash
data/processed\train\NORMAL\NORMAL2-IM-0416-0001.jpeg,NORMAL2-IM-0416-0001.jpeg,train,NORMAL,256,256,73.50730895996094,52.22612899779888,91795d0f323c2cf4b437175d95ec64ba
data/processed\train\NORMAL\NORMAL2-IM-0416-0001_rot.jpeg,NORMAL2-IM-0416-0001_rot.jpeg,train,NORMAL,256,256,73.50730895996094,52.22612899779888,91795d0f323c2cf4b437175d95ec64ba
data/processed\train\PNEUMONIA\person75_bacteria_369.jpeg,person75_bacteria_369.jpeg,train,PNEUMONIA,256,256,58.763427734375,49.70425354216911,7d671fd20ce8b662288f929d214e7447
data/processed\train\PNEUMONIA\person75_bacteria_369_rot.jpeg,person75_bacteria_369_rot.jpeg,train,PNEUMONIA,256,256,58.763427734375,49.70425354216911,7d671fd20ce8b662288f929d214e7447
data/processed\test\NORMAL\NORMAL2-IM-0095-0001.jpeg,NORMAL2-IM-0095-0001.jpeg,test,NORMAL,256,256,68.51008605957031,48.821260038211506,f981df8959169a89a760992a2d3ee429
data/processed\test\NORMAL\NORMAL2-IM-0096-0001.jpeg,NORMAL2-IM-0096-0001.jpeg,test,NORMAL,256,256,68.51008605957031,48.821260038211506,f981df8959169a89a760992a2d3ee429
data/processed\test\NORMAL\NORMAL2-IM-0173-0001-0001.jpeg,NORMAL2-IM-0173-0001-0001.jpeg,test,NORMAL,256,256,64.84736633300781,48.27635464623982,b6f8c7ae7c15379f091e7b43fca15fab
data/processed\test\NORMAL\NORMAL2-IM-0173-0001-0002.jpeg,NORMAL2-IM-0173-0001-0002.jpeg,test,NORMAL,256,256,64.84736633300781,48.27635464623982,b6f8c7ae7c15379f091e7b43fca15fab
data/processed\test\NORMAL\NORMAL2-IM-0246-0001-0001.jpeg,NORMAL2-IM-0246-0001-0001.jpeg,test,NORMAL,256,256,64.39700317382812,50.33670606858815,6b4a40542f30647e6f2752d9ef638d7c
data/processed\test\NORMAL\NORMAL2-IM-0246-0001-0002.jpeg,NORMAL2-IM-0246-0001-0002.jpeg,test,NORMAL,256,256,64.39700317382812,50.33670606858815,6b4a40542f30647e6f2752d9ef638d7c
data/processed\test\PNEUMONIA\person128_bacteria_606.jpeg,person128_bacteria_606.jpeg,test,PNEUMONIA,256,256,53.614288330078125,49.03578560566474,469d75e818fe5c95b48548de011cf247
data/processed\test\PNEUMONIA\person128_bacteria_607.jpeg,person128_bacteria_607.jpeg,test,PNEUMONIA,256,256,53.614288330078125,49.03578560566474,469d75e818fe5c95b48548de011cf247
data/processed\test\PNEUMONIA\person134_bacteria_643.jpeg,person134_bacteria_643.jpeg,test,PNEUMONIA,256,256,67.16203308105469,51.656392432996874,cb30cde08fec95a52eeed2f03d503366
data/processed\test\PNEUMONIA\person134_bacteria_644.jpeg,person134_bacteria_644.jpeg,test,PNEUMONIA,256,256,67.16203308105469,51.656392432996874,cb30cde08fec95a52eeed2f03d503366
data/processed\test\PNEUMONIA\person1661_virus_2872.jpeg,person1661_virus_2872.jpeg,test,PNEUMONIA,256,256,42.583770751953125,40.11848336867826,18e0ed2565c0031c65b6062d84092bb7
data/processed\test\PNEUMONIA\person1661_virus_2873.jpeg,person1661_virus_2873.jpeg,test,PNEUMONIA,256,256,42.583770751953125,40.11848336867826,18e0ed2565c0031c65b6062d84092bb7
