filepath,filename,split,label,width,height,mean_intensity,std_intensity,md5_hash
data/raw/chest_xray\train\NORMAL\IM-0115-0001.jpeg,IM-0115-0001.jpeg,train,NORMAL,2090,1858,128.90747832983968,62.30103035552067,20e1b8286b2d4e7a9869d42abd1cbf91
data/raw/chest_xray\train\NORMAL\IM-0117-0001.jpeg,IM-0117-0001.jpeg,train,NORMAL,1422,1152,100.6506241209564,59.808347333695814,9299d3c610ad02c31c30469c9a4c2431
data/raw/chest_xray\train\NORMAL\IM-0119-0001.jpeg,IM-0119-0001.jpeg,train,NORMAL,1810,1434,121.97153039444586,68.85642792870436,4b873c9f031149dccd93d51e092215ca
data/raw/chest_xray\train\NORMAL\IM-0122-0001.jpeg,IM-0122-0001.jpeg,train,NORMAL,1618,1279,132.98618841396294,64.97066297949904,f510c0d0ff70e725449ecbdf93553a70
data/raw/chest_xray\train\NORMAL\IM-0125-0001.jpeg,IM-0125-0001.jpeg,train,NORMAL,1600,1125,106.22479666666666,65.08872473454802,3c0c7a39407e411aa83b854f8f8fa8f0
data/raw/chest_xray\train\NORMAL\IM-0127-0001.jpeg,IM-0127-0001.jpeg,train,NORMAL,1974,1306,130.38174561799565,57.08917294094951,418786e61cd728e5a4050889f73b9f96
data/raw/chest_xray\train\NORMAL\IM-0128-0001.jpeg,IM-0128-0001.jpeg,train,NORMAL,1528,1013,97.19631375883152,58.816246906455646,cbc8d6af9e78486cc7e843911a33b1ba
data/raw/chest_xray\train\NORMAL\IM-0129-0001.jpeg,IM-0129-0001.jpeg,train,NORMAL,1384,1167,115.63772344978231,62.504149857316456,df87eb95951ed525b5120810fa3b3abe
data/raw/chest_xray\train\NORMAL\IM-0131-0001.jpeg,IM-0131-0001.jpeg,train,NORMAL,1450,1144,109.54809500843983,55.032321766214096,7f312b34a86c6c1bfd576d1d492fa981
data/raw/chest_xray\train\NORMAL\IM-0133-0001.jpeg,IM-0133-0001.jpeg,train,NORMAL,1468,993,109.62059827511929,64.76131733844807,c5f3f51ca1d32dd8f4d6a9d5c7ae3ac8
data/raw/chest_xray\train\NORMAL\IM-0135-0001.jpeg,IM-0135-0001.jpeg,train,NORMAL,1724,1581,120.28915698455117,66.41151183576194,36a75e41a60392423fe9b377bcf42340
data/raw/chest_xray\train\NORMAL\IM-0137-0001.jpeg,IM-0137-0001.jpeg,train,NORMAL,1346,1044,127.72222293385254,52.73530578411933,9d5d84363b69479fea0f3f80ed260522
data/raw/chest_xray\train\NORMAL\IM-0140-0001.jpeg,IM-0140-0001.jpeg,train,NORMAL,1156,1237,148.8811354348197,52.506305720368815,b43ad7d521aa60bd97852480c20a9914
data/raw/chest_xray\train\NORMAL\IM-0141-0001.jpeg,IM-0141-0001.jpeg,train,NORMAL,1740,1453,118.14381818037987,63.039120063512335,1ec662e4949e28d8cd546485d92e0fbd
data/raw/chest_xray\train\NORMAL\IM-0143-0001.jpeg,IM-0143-0001.jpeg,train,NORMAL,2138,1928,126.41026558539605,69.48443467029912,0431595f110bb7801a9eafaa666f623f
data/raw/chest_xray\train\NORMAL\IM-0145-0001.jpeg,IM-0145-0001.jpeg,train,NORMAL,1596,1156,119.44838957254728,60.44674920967884,e9209d6da424c0a2f16bbc006c40b7e6
data/raw/chest_xray\train\NORMAL\IM-0147-0001.jpeg,IM-0147-0001.jpeg,train,NORMAL,2102,1974,117.02452891394022,65.04319129713902,d93117d16328d3cbddf493471158ecda
data/raw/chest_xray\train\NORMAL\IM-0149-0001.jpeg,IM-0149-0001.jpeg,train,NORMAL,1542,1152,119.62115060707595,66.80174445921135,b31af44d02f2715b6421b6d0ba93a5ec
data/raw/chest_xray\train\NORMAL\IM-0151-0001.jpeg,IM-0151-0001.jpeg,train,NORMAL,1518,1156,101.80603120113426,67.01835126276652,6c5a50256c4a8094e4a9ceb68003313c
data/raw/chest_xray\train\NORMAL\IM-0152-0001.jpeg,IM-0152-0001.jpeg,train,NORMAL,1612,1133,129.01083061942754,59.382737156384934,c21e6df7d1b9a5ba4580953bb7128f38
data/raw/chest_xray\train\NORMAL\IM-0154-0001.jpeg,IM-0154-0001.jpeg,train,NORMAL,1844,1438,110.05971930163308,65.65320732953776,80dcd5ff27c6ee144d76128326e94fdf
data/raw/chest_xray\train\NORMAL\IM-0156-0001.jpeg,IM-0156-0001.jpeg,train,NORMAL,1488,1209,112.35823894714373,52.2250636723071,b1f75c3a07dd03ddc58f41211260ec3d
data/raw/chest_xray\train\NORMAL\IM-0158-0001.jpeg,IM-0158-0001.jpeg,train,NORMAL,994,758,105.56449647754602,56.44884103496907,2b933f5e354f4d4da5dda77a53cffb81
data/raw/chest_xray\train\NORMAL\IM-0160-0001.jpeg,IM-0160-0001.jpeg,train,NORMAL,1750,1314,128.579742987606,54.698447584250786,185c40f51d602390a5275c382ba1dc22
data/raw/chest_xray\train\NORMAL\IM-0162-0001.jpeg,IM-0162-0001.jpeg,train,NORMAL,1762,1430,116.6022205376916,55.77710384633814,d4bb8128b1baff5a5b9fb322d1dc4dcc
data/raw/chest_xray\train\NORMAL\IM-0164-0001.jpeg,IM-0164-0001.jpeg,train,NORMAL,1202,808,132.55970144643416,51.09142217121447,f08dc3dfb7921825607810b439240605
data/raw/chest_xray\train\NORMAL\IM-0166-0001.jpeg,IM-0166-0001.jpeg,train,NORMAL,1972,1719,118.47418601550267,66.4014311915498,748cbf9c18ad33c5aaaccbdaa2585034
data/raw/chest_xray\train\NORMAL\IM-0168-0001.jpeg,IM-0168-0001.jpeg,train,NORMAL,1534,1187,119.23826624591264,68.15240704844433,2c94a29180b80062c133ed10a13c9f68
data/raw/chest_xray\train\NORMAL\IM-0170-0001.jpeg,IM-0170-0001.jpeg,train,NORMAL,2148,1496,148.96676736972086,59.89052355031785,ebbcf6ca8604f0c508e949ce103a5c92
data/raw/chest_xray\train\NORMAL\IM-0172-0001.jpeg,IM-0172-0001.jpeg,train,NORMAL,1876,1893,141.0344629017016,57.54251178710032,cb76f71497d39937e64894d37fd244c4
data/raw/chest_xray\train\NORMAL\IM-0176-0001.jpeg,IM-0176-0001.jpeg,train,NORMAL,1680,1557,154.8842447319326,52.102496189182396,d692dde8a93d54425f3542224a174963
data/raw/chest_xray\train\NORMAL\IM-0177-0001.jpeg,IM-0177-0001.jpeg,train,NORMAL,2172,1615,90.12881395070386,71.33009592387072,195c043bb000fa12a46f42477dbcc76f
data/raw/chest_xray\train\NORMAL\IM-0178-0001.jpeg,IM-0178-0001.jpeg,train,NORMAL,1646,1124,142.1678408348936,58.88086414759296,9386687ce4936393d300f41f18c4e3d9
data/raw/chest_xray\train\NORMAL\IM-0180-0001.jpeg,IM-0180-0001.jpeg,train,NORMAL,2136,1650,138.3996546929974,58.78882588815338,1a8298e59b73afa5b97a40f3a6ea3272
data/raw/chest_xray\train\NORMAL\IM-0182-0001.jpeg,IM-0182-0001.jpeg,train,NORMAL,1372,1005,135.85938383882336,67.35871694138247,1f8cda52401c1f5d5f0eca6b96671471
data/raw/chest_xray\train\NORMAL\IM-0183-0001.jpeg,IM-0183-0001.jpeg,train,NORMAL,2338,2025,119.3047416278554,66.65580031781359,102bcf6135ddcbda1361bf977fdfe638
data/raw/chest_xray\train\NORMAL\IM-0185-0001.jpeg,IM-0185-0001.jpeg,train,NORMAL,1458,1190,129.6469850491637,65.52382012329328,083179cac331f9c6c8cc2af1877d6e9f
data/raw/chest_xray\train\NORMAL\IM-0187-0001.jpeg,IM-0187-0001.jpeg,train,NORMAL,1854,1572,125.67006383282416,59.9971420258199,93c272557efd83b75cab0242bc4e8170
data/raw/chest_xray\train\NORMAL\IM-0189-0001.jpeg,IM-0189-0001.jpeg,train,NORMAL,1466,1109,123.03464399548774,60.97152374677339,4eca1d3334bc2bd59b3bc5267ef07506
data/raw/chest_xray\train\NORMAL\IM-0191-0001.jpeg,IM-0191-0001.jpeg,train,NORMAL,2164,1746,135.77797389544202,62.88480414471827,268d9c20bc7460d21d6b022b3b3ad108
data/raw/chest_xray\train\NORMAL\IM-0193-0001.jpeg,IM-0193-0001.jpeg,train,NORMAL,2010,1747,111.98964678610382,61.61972895077675,8d9b2b022548e82cc84a6ca13a5491e8
data/raw/chest_xray\train\NORMAL\IM-0195-0001.jpeg,IM-0195-0001.jpeg,train,NORMAL,1774,1546,131.73124957157503,60.843895469541856,45cbc540c85b62ea70eb7d4c3a5484f7
data/raw/chest_xray\train\NORMAL\IM-0199-0001.jpeg,IM-0199-0001.jpeg,train,NORMAL,1506,833,121.31764578341297,64.45424447134532,54117c69ddadc99e305cc8eb8deb8120
data/raw/chest_xray\train\NORMAL\IM-0201-0001.jpeg,IM-0201-0001.jpeg,train,NORMAL,1446,1310,102.9140894069452,62.20871229926881,92071db8185da0ed5f89443690e01a8f
data/raw/chest_xray\train\NORMAL\IM-0203-0001.jpeg,IM-0203-0001.jpeg,train,NORMAL,1434,1260,121.52624139381462,61.47304603433738,14a2ef52b9ed20934dc81c3c71888c9a
data/raw/chest_xray\train\NORMAL\IM-0205-0001.jpeg,IM-0205-0001.jpeg,train,NORMAL,1554,1075,104.70198557361348,63.149867433390845,6cbd57d2f1db886e7dfb27b62f3ec23d
