filepath,filename,split,label,width,height,mean_intensity,std_intensity,md5_hash
data/raw/chest_xray\train\NORMAL\NORMAL2-IM-0587-0001-0001.jpeg,NORMAL2-IM-0587-0001-0001.jpeg,train,NORMAL,2428,2540,163.97971922064107,67.53798942472508,dcc3ab0eaf19ff80af9d3d254b340da5
data/raw/chest_xray\train\NORMAL\NORMAL2-IM-0587-0001-0002.jpeg,NORMAL2-IM-0587-0001-0002.jpeg,train,NORMAL,2428,2540,163.97971922064107,67.53798942472508,dcc3ab0eaf19ff80af9d3d254b340da5
data/raw/chest_xray\train\PNEUMONIA\person1159_virus_1944.jpeg,person1159_virus_1944.jpeg,train,PNEUMONIA,1360,920,140.4879020140665,56.45880825123966,edbf5c2810fce5b00722716ab730e577
data/raw/chest_xray\train\PNEUMONIA\person1159_virus_1945.jpeg,person1159_virus_1945.jpeg,train,PNEUMONIA,1360,920,140.4879020140665,56.45880825123966,edbf5c2810fce5b00722716ab730e577
data/raw/chest_xray\train\PNEUMONIA\person124_virus_246.jpeg,person124_virus_246.jpeg,train,PNEUMONIA,1296,888,122.85006099849849,51.50141215987345,b0ef364ad24cf8b19c70cf0e8debb1ee
data/raw/chest_xray\train\PNEUMONIA\person124_virus_247.jpeg,person124_virus_247.jpeg,train,PNEUMONIA,1296,888,122.85006099849849,51.50141215987345,b0ef364ad24cf8b19c70cf0e8debb1ee
data/raw/chest_xray\train\PNEUMONIA\person1261_virus_2147.jpeg,person1261_virus_2147.jpeg,train,PNEUMONIA,1184,808,131.3607150622157,44.605612396187176,3eaf3d1e7d169b19c280ff54c291cd0f
data/raw/chest_xray\train\PNEUMONIA\person1261_virus_2148.jpeg,person1261_virus_2148.jpeg,train,PNEUMONIA,1184,808,131.3607150622157,44.605612396187176,3eaf3d1e7d169b19c280ff54c291cd0f
data/raw/chest_xray\train\PNEUMONIA\person1312_bacteria_3317.jpeg,person1312_bacteria_3317.jpeg,train,PNEUMONIA,1624,1136,128.32852448744188,57.8779835370261,ee1a4aa1a4447f742f55464ef2483060
data/raw/chest_xray\train\PNEUMONIA\person1312_bacteria_3318.jpeg,person1312_bacteria_3318.jpeg,train,PNEUMONIA,1624,1136,128.32852448744188,57.8779835370261,ee1a4aa1a4447f742f55464ef2483060
data/raw/chest_xray\train\PNEUMONIA\person1343_bacteria_3413.jpeg,person1343_bacteria_3413.jpeg,train,PNEUMONIA,1384,864,150.0675661662385,62.08964142692878,b7d8223d200f9a48dcb9d598cddae2d6
data/raw/chest_xray\train\PNEUMONIA\person1343_bacteria_3414.jpeg,person1343_bacteria_3414.jpeg,train,PNEUMONIA,1384,864,150.0675661662385,62.08964142692878,b7d8223d200f9a48dcb9d598cddae2d6
data/raw/chest_xray\train\PNEUMONIA\person1349_bacteria_3436.jpeg,person1349_bacteria_3436.jpeg,train,PNEUMONIA,1480,1208,145.51324223644173,64.51078312423594,077fce04eafc798401239d127a84f5f0
data/raw/chest_xray\train\PNEUMONIA\person1349_bacteria_3437.jpeg,person1349_bacteria_3437.jpeg,train,PNEUMONIA,1480,1208,145.51324223644173,64.51078312423594,077fce04eafc798401239d127a84f5f0
data/raw/chest_xray\train\PNEUMONIA\person1372_bacteria_3501.jpeg,person1372_bacteria_3501.jpeg,train,PNEUMONIA,1800,1512,142.8996454291593,57.149601352638676,de69d5b43fa9b4894d8b938352ff5650
data/raw/chest_xray\train\PNEUMONIA\person1372_bacteria_3502.jpeg,person1372_bacteria_3502.jpeg,train,PNEUMONIA,1800,1512,142.8996454291593,57.149601352638676,de69d5b43fa9b4894d8b938352ff5650
data/raw/chest_xray\train\PNEUMONIA\person1372_bacteria_3503.jpeg,person1372_bacteria_3503.jpeg,train,PNEUMONIA,1800,1512,142.8996454291593,57.149601352638676,de69d5b43fa9b4894d8b938352ff5650
data/raw/chest_xray\train\PNEUMONIA\person1430_bacteria_3695.jpeg,person1430_bacteria_3695.jpeg,train,PNEUMONIA,1144,792,139.12325285194603,70.68991286861016,4a8541c3e481489acfeb8bd6b58c6e85
data/raw/chest_xray\train\PNEUMONIA\person1430_bacteria_3696.jpeg,person1430_bacteria_3696.jpeg,train,PNEUMONIA,1144,792,139.12325285194603,70.68991286861016,4a8541c3e481489acfeb8bd6b58c6e85
data/raw/chest_xray\train\PNEUMONIA\person1481_bacteria_3862.jpeg,person1481_bacteria_3862.jpeg,train,PNEUMONIA,1440,1168,128.24027777777778,62.5095497604386,ec767162c138e35cf6477b472bca6a24
